Gene stable ID	Transcript stable ID	Gene description	Gene type	Transcript type
WBGene00000001	Y110A7A.10	phosphoinositide kinase AdAPter subunit  [Source:RefSeq peptide;Acc:NP_491522]	protein_coding	protein_coding
WBGene00000002	F27C8.1	Amino Acid Transporter  [Source:RefSeq peptide;Acc:NP_501707]	protein_coding	protein_coding
WBGene00000003	F07C3.7	Amino Acid Transporter  [Source:RefSeq peptide;Acc:NP_505394]	protein_coding	protein_coding
WBGene00000004	F52H2.2a	Amino Acid Transporter  [Source:RefSeq peptide;Acc:NP_508461]	protein_coding	protein_coding
WBGene00000004	F52H2.2b	Amino Acid Transporter  [Source:RefSeq peptide;Acc:NP_508461]	protein_coding	protein_coding
WBGene00000005	T13A10.10a	Amino Acid Transporter  [Source:RefSeq peptide;Acc:NP_001023382]	protein_coding	protein_coding
WBGene00000005	T13A10.10b	Amino Acid Transporter  [Source:RefSeq peptide;Acc:NP_001023382]	protein_coding	ncRNA
WBGene00000006	C55C2.5a	Amino Acid Transporter  [Source:RefSeq peptide;Acc:NP_491002]	protein_coding	protein_coding
WBGene00000006	C55C2.5b	Amino Acid Transporter  [Source:RefSeq peptide;Acc:NP_491002]	protein_coding	ncRNA
WBGene00000006	C55C2.5c	Amino Acid Transporter  [Source:RefSeq peptide;Acc:NP_491002]	protein_coding	ncRNA
WBGene00000006	C55C2.5d	Amino Acid Transporter  [Source:RefSeq peptide;Acc:NP_491002]	protein_coding	ncRNA
WBGene00000007	T11F9.4a	Amino Acid Transporter  [Source:RefSeq peptide;Acc:NP_505905]	protein_coding	protein_coding
WBGene00000007	T11F9.4b.1	Amino Acid Transporter  [Source:RefSeq peptide;Acc:NP_505905]	protein_coding	protein_coding
WBGene00000007	T11F9.4b.2	Amino Acid Transporter  [Source:RefSeq peptide;Acc:NP_505905]	protein_coding	protein_coding
WBGene00000008	F54D12.3	Amino Acid Transporter  [Source:RefSeq peptide;Acc:NP_493960]	protein_coding	protein_coding
WBGene00000009	F28F9.4	Amino Acid Transporter  [Source:RefSeq peptide;Acc:NP_500425]	protein_coding	protein_coding
WBGene00000010	Y53H1C.1a	Amino Acid Transporter  [Source:RefSeq peptide;Acc:NP_001021788]	protein_coding	protein_coding
